timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1736100112480,2103,2_Obtener_Reserva,404,Not Found,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-2,text,false,No es posible realizar la transacción,753,196,10,10,https://restful-booker.herokuapp.com/booking/6049,2103,0,0
1736100108442,2519,Flujo_Crear_Consultar_Reservas,,"Number of samples in transaction : 2, number of failing samples : 1",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-2,,false,,1719,672,10,10,null,2517,3624,307
1736100110707,4093,2_Obtener_Reserva,404,Not Found,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-7,text,false,No es posible realizar la transacción,757,196,10,10,https://restful-booker.herokuapp.com/booking/6038,4093,0,0
1736100108360,4458,Flujo_Crear_Consultar_Reservas,,"Number of samples in transaction : 2, number of failing samples : 1",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-7,,false,,1729,678,10,10,null,4458,1982,271
1736100110899,4098,2_Obtener_Reserva,404,Not Found,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-6,text,false,No es posible realizar la transacción,757,196,10,10,https://restful-booker.herokuapp.com/booking/6028,4098,0,0
1736100108291,4483,Flujo_Crear_Consultar_Reservas,,"Number of samples in transaction : 2, number of failing samples : 1",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-6,,false,,1722,675,10,10,null,4482,2224,280
1736100111003,4097,2_Obtener_Reserva,404,Not Found,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-9,text,false,No es posible realizar la transacción,757,196,10,10,https://restful-booker.herokuapp.com/booking/6042,4097,0,0
1736100108773,4470,Flujo_Crear_Consultar_Reservas,,"Number of samples in transaction : 2, number of failing samples : 1",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-9,,false,,1725,674,10,10,null,4469,1858,277
1736100110174,5096,2_Obtener_Reserva,404,Not Found,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-1,text,false,No es posible realizar la transacción,761,196,10,10,https://restful-booker.herokuapp.com/booking/6029,5096,0,0
1736100108015,5465,Flujo_Crear_Consultar_Reservas,,"Number of samples in transaction : 2, number of failing samples : 1",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-1,,false,,1727,676,10,10,null,5464,1791,278
1736100110590,9100,2_Obtener_Reserva,404,Not Found,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-3,text,false,No es posible realizar la transacción,757,196,10,10,https://restful-booker.herokuapp.com/booking/6047,9100,0,0
1736100109082,9493,Flujo_Crear_Consultar_Reservas,,"Number of samples in transaction : 2, number of failing samples : 1",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-3,,false,,1728,677,10,10,null,9493,1115,293
