timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1736100055830,505,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-2,text,true,,967,481,2,2,https://restful-booker.herokuapp.com/booking,505,0,412
1736100056261,368,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-1,text,true,,961,479,2,2,https://restful-booker.herokuapp.com/booking,368,0,275
1736100056997,95,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-1,text,true,,932,196,2,2,https://restful-booker.herokuapp.com/booking/5444,95,0,0
1736100054777,463,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-1,,true,,1893,675,2,2,null,463,1853,275
1736100057907,104,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-2,text,true,,934,196,2,2,https://restful-booker.herokuapp.com/booking/5442,104,0,0
1736100054777,609,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-2,,true,,1901,677,2,2,null,609,2626,412
1736100057857,402,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-1,text,true,,960,478,2,2,https://restful-booker.herokuapp.com/booking,402,0,303
1736100058924,100,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-1,text,true,,939,196,2,2,https://restful-booker.herokuapp.com/booking/5455,100,0,0
1736100057093,502,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-1,,true,,1899,674,2,2,null,502,1429,303
1736100058859,368,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-2,text,true,,966,476,2,2,https://restful-booker.herokuapp.com/booking,368,0,279
1736100059650,396,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-1,text,true,,964,478,2,2,https://restful-booker.herokuapp.com/booking,396,0,294
1736100061087,96,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-2,text,true,,945,196,2,2,https://restful-booker.herokuapp.com/booking/5464,96,0,0
1736100058012,464,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-2,,true,,1911,672,2,2,null,464,2708,279
1736100061167,113,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-1,text,true,,947,196,2,2,https://restful-booker.herokuapp.com/booking/5472,112,0,0
1736100059024,509,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-1,,true,,1911,674,2,2,null,508,1747,294
1736100062629,376,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-2,text,true,,961,479,2,2,https://restful-booker.herokuapp.com/booking,376,0,280
1736100062948,428,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-1,text,true,,961,479,2,2,https://restful-booker.herokuapp.com/booking,428,0,327
1736100063989,105,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-1,text,true,,936,196,2,2,https://restful-booker.herokuapp.com/booking/5504,105,0,0
1736100061280,533,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-1,,true,,1897,675,2,2,null,533,2282,327
