timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1736104893688,566,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-1,text,true,,966,481,10,10,https://restful-booker.herokuapp.com/booking,566,0,468
1736104894105,354,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-9,text,true,,963,478,10,10,https://restful-booker.herokuapp.com/booking,354,0,265
1736104894374,362,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-3,text,true,,971,478,10,10,https://restful-booker.herokuapp.com/booking,362,0,272
1736104894489,373,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-6,text,true,,969,476,10,10,https://restful-booker.herokuapp.com/booking,373,0,273
1736104894869,90,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-1,text,true,,946,195,10,10,https://restful-booker.herokuapp.com/booking/615,90,0,0
1736104893336,656,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-1,,true,,1912,676,10,10,null,656,968,468
1736104894568,394,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-4,text,true,,972,479,10,10,https://restful-booker.herokuapp.com/booking,394,0,298
1736104894627,355,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-5,text,true,,970,477,10,10,https://restful-booker.herokuapp.com/booking,355,0,267
1736104894639,367,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-7,text,true,,969,476,10,10,https://restful-booker.herokuapp.com/booking,367,0,277
1736104894934,90,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-6,text,true,,941,195,10,10,https://restful-booker.herokuapp.com/booking/625,90,0,0
1736104893336,463,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-6,,true,,1910,671,10,10,null,463,1226,273
1736104894661,400,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-2,text,true,,972,479,10,10,https://restful-booker.herokuapp.com/booking,400,0,301
1736104894732,408,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-8,text,true,,972,479,10,10,https://restful-booker.herokuapp.com/booking,408,0,301
1736104894870,362,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-10,text,true,,972,479,10,10,https://restful-booker.herokuapp.com/booking,362,0,270
1736104895298,100,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-9,text,true,,943,195,10,10,https://restful-booker.herokuapp.com/booking/618,100,0,0
1736104893336,454,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-9,,true,,1906,673,10,10,null,454,1609,265
1736104895773,92,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-10,text,true,,936,195,10,10,https://restful-booker.herokuapp.com/booking/634,92,0,0
1736104893336,454,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-10,,true,,1908,674,10,10,null,454,2075,270
1736104895804,106,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-2,text,true,,936,195,10,10,https://restful-booker.herokuapp.com/booking/631,106,0,0
1736104893336,506,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-2,,true,,1908,674,10,10,null,506,2068,301
1736104895872,94,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-4,text,true,,936,195,10,10,https://restful-booker.herokuapp.com/booking/627,94,0,0
1736104893336,488,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-4,,true,,1908,674,10,10,null,488,2143,298
1736104896036,94,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-3,text,true,,935,195,10,10,https://restful-booker.herokuapp.com/booking/623,94,0,0
1736104893336,456,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-3,,true,,1906,673,10,10,null,456,2339,272
1736104895883,375,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-1,text,true,,967,482,10,10,https://restful-booker.herokuapp.com/booking,375,0,278
1736104896201,104,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-7,text,true,,933,195,10,10,https://restful-booker.herokuapp.com/booking/630,103,0,0
1736104893336,471,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-7,,true,,1902,671,10,10,null,470,2498,277
1736104896314,101,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-8,text,true,,936,195,10,10,https://restful-booker.herokuapp.com/booking/632,101,0,0
1736104893337,509,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-8,,true,,1908,674,10,10,null,509,2570,301
1736104896342,388,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-6,text,true,,963,478,10,10,https://restful-booker.herokuapp.com/booking,388,0,282
1736104896658,89,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-5,text,true,,934,195,10,10,https://restful-booker.herokuapp.com/booking/628,89,0,0
1736104893337,444,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-5,,true,,1904,672,10,10,null,444,2967,267
1736104896550,357,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-2,text,true,,961,476,10,10,https://restful-booker.herokuapp.com/booking,357,0,265
1736104896791,373,1_Crear_Reservas,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-4,text,true,,965,480,10,10,https://restful-booker.herokuapp.com/booking,373,0,275
1736104897152,88,2_Obtener_Reserva,200,OK,bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-1,text,true,,939,195,10,10,https://restful-booker.herokuapp.com/booking/645,88,0,0
1736104894961,463,Flujo_Crear_Consultar_Reservas,200,"Number of samples in transaction : 2, number of failing samples : 0",bzm - Concurrency Thread Group-API_restful-booker-ThreadStarter 1-1,,true,,1906,677,10,10,null,463,1816,278
